2017-18 Advanced Placement Participation - All Subjects - Male,,,,,,,,,
District Name,District Code,test_takers_male,tests_taken_male,one_test_male,two_tests_male,three_tests_male,four_tests_male,five_ormore_tests_male,
Abington,00010000,      21,      32,      13,       5,       3,       0,       0,
Academy Of the Pacific Rim Charter Public (District),04120000,      10,      17,       5,       3,       2,       0,       0,
Acton-Boxborough,06000000,     252,     578,      91,      66,      49,      28,      18,
Adams-Cheshire,06030000,      35,      54,      21,       9,       5,       0,       0,
Advanced Math and Science Academy Charter (District),04300000,     104,     171,      59,      28,      13,       3,       1,
Agawam,00050000,      94,     162,      48,      32,       9,       3,       2,
Amesbury,00070000,      39,      59,      20,      18,       1,       0,       0,
Amherst-Pelham,06050000,      84,     130,      51,      21,      11,       1,       0,
Andover,00090000,     182,     374,      66,      57,      45,      11,       3,
Arlington,00100000,     181,     387,      65,      54,      41,      14,       7,
Ashburnham-Westminster,06100000,      44,      68,      26,      12,       6,       0,       0,
Ashland,00140000,      74,     154,      38,      13,      10,       7,       6,
Assabet Valley Regional Vocational Technical,08010000,      47,      65,      37,       4,       4,       2,       0,
Athol-Royalston,06150000,      20,      30,      10,      10,       0,       0,       0,
Atlantis Charter (District),04910000,      10,      17,       4,       5,       1,       0,       0,
Attleboro,00160000,     144,     226,      84,      39,      20,       1,       0,
Auburn,00170000,      99,     141,      68,      21,       9,       1,       0,
Avon,00180000,      10,      13,       8,       1,       1,       0,       0,
Ayer Shirley School District,06160000,      30,      52,      15,      12,       1,       1,       1,
Barnstable,00200000,     189,     403,      88,      34,      40,      14,      13,
Baystate Academy Charter Public School (District),35020000,       9,,,,,,,
Bedford,00230000,      75,     137,      30,      29,      15,       1,       0,
Belchertown,00240000,      45,      71,      28,      12,       2,       2,       1,
Bellingham,00250000,      38,      70,      16,      12,      10,       0,       0,
Belmont,00260000,     234,     575,      66,      64,      55,      34,      15,
Berkshire Arts and Technology Charter Public (District),04140000,      17,      32,       9,       3,       3,       2,       0,
Berkshire Hills,06180000,      40,      67,      23,      10,       4,       3,       0,
Berlin-Boylston,06200000,      23,      46,      11,       4,       5,       3,       0,
Beverly,00300000,      59,     116,      29,      13,      10,       4,       3,
Billerica,00310000,      93,     189,      43,      25,      11,       7,       7,
Blackstone Valley Regional Vocational Technical,08050000,     134,     200,      77,      49,       7,       1,       0,
Blackstone-Millville,06220000,      27,      42,      15,      10,       1,       1,       0,
Blue Hills Regional Vocational Technical,08060000,      17,      20,      14,       3,       0,       0,       0,
Boston,00350000,"   1,300","   2,307",     669,     369,     178,      55,      29,
Boston Collegiate Charter (District),04490000,      37,      71,      14,      15,       5,       3,       0,
Boston Green Academy Horace Mann Charter School (District),04110000,      19,      35,       6,      10,       3,       0,       0,
Boston Preparatory Charter Public (District),04160000,      34,      65,      13,      13,       6,       2,       0,
Bourne,00360000,      35,      68,      13,      12,       9,       1,       0,
Braintree,00400000,     159,     327,      67,      43,      27,      17,       5,
Bridgewater-Raynham,06250000,     104,     198,      45,      34,      17,       6,       2,
Bristol-Plymouth Regional Vocational Technical,08100000,      51,      61,      41,      10,       0,       0,       0,
Brockton,00440000,     129,     197,      90,      21,      11,       5,       2,
Brooke Charter School (District),04280000,      21,      21,      21,       0,       0,       0,       0,
Brookline,00460000,     258,     539,     109,      59,      57,      26,       7,
Burlington,00480000,      92,     185,      44,      21,      14,       8,       5,
Cambridge,00490000,     176,     336,      85,      42,      32,      14,       3,
Canton,00500000,     122,     306,      35,      36,      27,      10,      14,
Cape Cod Regional Vocational Technical,08150000,      17,      24,      10,       7,       0,       0,       0,
Carver,00520000,      47,      97,      23,       8,       8,       6,       2,
Central Berkshire,06350000,      37,      63,      19,      12,       4,       2,       0,
Chelmsford,00560000,     113,     242,      46,      29,      23,       7,       8,
Chelsea,00570000,      72,     106,      45,      20,       7,       0,       0,
Chicopee,00610000,     117,     235,      53,      31,      16,      13,       4,
City on a Hill Charter Public School Circuit Street (District),04370000,      12,      15,      10,       1,       1,       0,       0,
City on a Hill Charter Public School Dudley Square (District),35040000,      12,      18,       7,       4,       1,       0,       0,
Clinton,00640000,      18,      31,      12,       1,       3,       2,       0,
Codman Academy Charter Public (District),04380000,       8,,,,,,,
Cohasset,00650000,      77,     144,      30,      29,      16,       2,       0,
Community Charter School of Cambridge (District),04360000,      34,      57,      17,      11,       6,       0,       0,
Concord-Carlisle,06400000,     129,     271,      49,      37,      30,       7,       6,
Danvers,00710000,      99,     188,      47,      28,      15,       6,       3,
Dartmouth,00720000,      99,     152,      66,      18,      10,       5,       0,
Dedham,00730000,      99,     172,      57,      21,      15,       3,       3,
Dennis-Yarmouth,06450000,      48,      97,      20,      13,      11,       3,       1,
Dighton-Rehoboth,06500000,      68,     138,      29,      19,      13,       5,       2,
Douglas,00770000,      31,      70,      10,       7,      10,       4,       0,
Dover-Sherborn,06550000,      81,     199,      21,      22,      24,       9,       5,
Dracut,00790000,      57,      96,      29,      18,       9,       1,       0,
Dudley-Charlton Reg,06580000,     141,     251,      75,      35,      22,       5,       4,
Duxbury,00820000,     142,     311,      52,      43,      23,      18,       6,
East Bridgewater,00830000,      24,      46,      10,       6,       8,       0,       0,
East Longmeadow,00870000,      77,     123,      47,      19,       6,       5,       0,
Easthampton,00860000,      55,      75,      39,      12,       4,       0,       0,
Easton,00880000,     142,     326,      48,      45,      25,      13,      11,
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),04520000,      28,      40,      16,      12,       0,       0,       0,
Essex North Shore Agricultural and Technical School District,08170000,      19,      21,      17,       2,       0,       0,       0,
Everett,00930000,      89,     160,      47,      23,      11,       6,       2,
Excel Academy Charter (District),04100000,      45,      70,      27,      11,       7,       0,       0,
Fairhaven,00940000,      39,      68,      21,       9,       7,       2,       0,
Fall River,00950000,      97,     208,      37,      27,      19,      10,       4,
Falmouth,00960000,      44,      95,      15,      16,       7,       3,       3,
Fitchburg,00970000,     107,     209,      51,      27,      15,      11,       3,
Foxborough,00990000,      99,     202,      42,      31,      12,       9,       5,
Foxborough Regional Charter (District),04460000,      49,      83,      24,      16,       9,       0,       0,
Framingham,01000000,     154,     308,      77,      37,      18,      11,      11,
Francis W. Parker Charter Essential (District),04780000,       5,,,,,,,
Franklin,01010000,     194,     389,      86,      55,      29,      16,       8,
Franklin County Regional Vocational Technical,08180000,      38,      44,      33,       4,       1,       0,       0,
Freetown-Lakeville,06650000,      76,     137,      31,      34,       8,       1,       2,
Frontier,06700000,      51,      82,      29,      13,       9,       0,       0,
Gardner,01030000,      35,      79,      17,       6,       4,       4,       4,
Gateway,06720000,      10,      19,       5,       1,       4,       0,       0,
Georgetown,01050000,      19,      28,      13,       4,       1,       1,       0,
Gill-Montague,06740000,       4,,,,,,,
Gloucester,01070000,      55,     111,      26,      15,       5,       6,       3,
Grafton,01100000,      66,     120,      31,      20,      13,       1,       1,
Granby,01110000,      16,      21,      11,       5,       0,       0,       0,
Greater Fall River Regional Vocational Technical,08210000,      10,      16,       6,       2,       2,       0,       0,
Greater Lawrence Regional Vocational Technical,08230000,       3,,,,,,,
Greater Lowell Regional Vocational Technical,08280000,      47,      47,      47,       0,       0,       0,       0,
Greater New Bedford Regional Vocational Technical,08250000,      39,      55,      28,       6,       5,       0,       0,
Greenfield,01140000,      19,      47,       5,       7,       3,       2,       2,
Groton-Dunstable,06730000,      75,     144,      31,      25,      15,       2,       2,
Hadley,01170000,      19,      35,      10,       4,       3,       2,       0,
Hamilton-Wenham,06750000,      86,     193,      33,      19,      20,      11,       3,
Hampden Charter School of Science East (District),04990000,      30,      38,      23,       6,       1,       0,       0,
Hampden-Wilbraham,06800000,      67,     101,      42,      17,       7,       1,       0,
Hampshire,06830000,      34,      52,      19,      12,       3,       0,       0,
Hanover,01220000,     125,     218,      69,      34,      10,       9,       3,
Harvard,01250000,      59,     122,      27,       9,      17,       4,       2,
Hatfield,01270000,       7,,,,,,,
Haverhill,01280000,      93,     165,      47,      25,      16,       5,       0,
Hingham,01310000,      94,     170,      50,      20,      16,       8,       0,
Holbrook,01330000,      14,      29,       3,       8,       2,       1,       0,
Holliston,01360000,     114,     188,      57,      41,      15,       1,       0,
Holyoke,01370000,      86,     165,      40,      22,      15,       9,       0,
Hopedale,01380000,      39,      63,      18,      18,       3,       0,       0,
Hopkinton,01390000,     225,     528,      80,      48,      50,      36,      11,
Hudson,01410000,      74,     129,      36,      27,       5,       6,       0,
Hull,01420000,      19,      37,       8,       4,       7,       0,       0,
Innovation Academy Charter (District),04350000,       3,,,,,,,
Ipswich,01440000,      47,      90,      20,      15,       8,       4,       0,
KIPP Academy Lynn Charter (District),04290000,      79,     122,      51,      16,       9,       3,       0,
King Philip,06900000,     159,     335,      61,      50,      28,      13,       7,
Lawrence,01490000,      78,      98,      62,      13,       2,       1,       0,
Lee,01500000,      20,      29,      12,       7,       1,       0,       0,
Leicester,01510000,      36,      52,      22,      12,       2,       0,       0,
Lenox,01520000,      25,      48,      10,       8,       6,       1,       0,
Leominster,01530000,     104,     241,      41,      23,      17,      15,       8,
Lexington,01550000,     467,     971,     193,     146,      65,      30,      33,
Lincoln-Sudbury,06950000,     128,     226,      65,      36,      19,       8,       0,
Littleton,01580000,      37,      63,      19,      11,       6,       1,       0,
Longmeadow,01590000,     104,     285,      28,      23,      23,      14,      16,
Lowell,01600000,     150,     268,      85,      31,      21,       8,       5,
Ludlow,01610000,      60,     130,      29,       9,      11,       6,       5,
Lunenburg,01620000,      57,      94,      24,      30,       2,       1,       0,
Lynn,01630000,     170,     320,      91,      35,      26,      10,       8,
Lynnfield,01640000,      90,     208,      25,      31,      19,      11,       4,
MATCH Charter Public School (District),04690000,      37,      61,      24,       4,       7,       2,       0,
Ma Academy for Math and Science,04680000,      25,      55,      10,       4,       9,       0,       2,
Malden,01650000,     178,     355,      83,      44,      26,      21,       4,
Manchester Essex Regional,06980000,      54,     118,      23,      15,       5,       6,       5,
Mansfield,01670000,     102,     188,      41,      42,      14,       4,       1,
Marblehead,01680000,     135,     235,      78,      27,      21,       5,       4,
Marlborough,01700000,     109,     235,      43,      33,      15,       9,       9,
Marshfield,01710000,     102,     199,      41,      30,      27,       3,       1,
Martha's Vineyard,07000000,      68,     136,      28,      23,       9,       6,       2,
Masconomet,07050000,      89,     173,      40,      28,      12,       5,       4,
Mashpee,01720000,      62,     107,      36,      12,       9,       5,       0,
Massachusetts Virtual Academy at Greenfield Commonwealth Virtual District,39010000,       2,,,,,,,
Maynard,01740000,      45,      73,      21,      21,       2,       1,       0,
Medfield,01750000,     134,     242,      69,      34,      20,      10,       1,
Medford,01760000,      69,     100,      46,      16,       6,       1,       0,
Medway,01770000,     141,     276,      71,      31,      20,      13,       6,
Melrose,01780000,     137,     318,      53,      30,      28,      13,      13,
Mendon-Upton,07100000,      85,     158,      38,      28,      12,       7,       0,
Methuen,01810000,     141,     243,      76,      40,      16,       6,       3,
Middleborough,01820000,      71,     121,      33,      27,      10,       1,       0,
Milford,01850000,     100,     170,      57,      22,      16,       4,       1,
Millbury,01860000,      32,      53,      16,      12,       3,       1,       0,
Millis,01870000,      44,      72,      22,      16,       6,       0,       0,
Milton,01890000,     134,     309,      46,      34,      27,      22,       5,
Minuteman Regional Vocational Technical,08300000,      13,      15,      11,       2,       0,       0,       0,
Mohawk Trail,07170000,      20,      30,      10,      10,       0,       0,       0,
Monomoy Regional School District,07120000,      31,      70,       7,      11,      11,       2,       0,
Monson,01910000,      24,      35,      15,       7,       2,       0,       0,
Montachusett Regional Vocational Technical,08320000,      30,      38,      22,       8,       0,       0,       0,
Mount Greylock,07150000,      68,     138,      29,      19,      11,       7,       2,
Mystic Valley Regional Charter (District),04700000,       1,,,,,,,
Nantucket,01970000,      44,      68,      26,      12,       6,       0,       0,
Narragansett,07200000,      45,      72,      26,      14,       3,       1,       1,
Nashoba,07250000,     156,     310,      81,      33,      14,      21,       7,
Nashoba Valley Regional Vocational Technical,08520000,      49,      94,      26,       2,      20,       1,       0,
Natick,01980000,     228,     467,     102,      60,      38,      14,      14,
Nauset,06600000,     115,     225,      58,      27,      12,      13,       5,
Needham,01990000,     207,     382,     104,      57,      25,      17,       4,
New Bedford,02010000,      90,     137,      54,      28,       5,       3,       0,
Newburyport,02040000,      87,     162,      44,      24,      10,       6,       3,
Newton,02070000,     497,"   1,057",     195,     134,     101,      49,      18,
North Adams,02090000,      63,     105,      41,      10,       5,       6,       1,
North Andover,02110000,     143,     232,      72,      56,      12,       3,       0,
North Attleborough,02120000,     101,     183,      52,      27,      13,       7,       2,
North Brookfield,02150000,      12,      18,       7,       4,       1,       0,       0,
North Middlesex,07350000,      52,      91,      25,      16,      10,       1,       0,
North Reading,02170000,     100,     194,      37,      37,      22,       3,       1,
Northampton,02100000,     137,     291,      56,      37,      18,      23,       3,
Northampton-Smith Vocational Agricultural,04060000,       4,,,,,,,
Northboro-Southboro,07300000,     182,     379,      74,      59,      25,      14,      10,
Northbridge,02140000,      54,      90,      21,      30,       3,       0,       0,
Northeast Metropolitan Regional Vocational Technical,08530000,      10,      11,       9,       1,       0,       0,       0,
Northern Berkshire Regional Vocational Technical,08510000,      11,      15,       7,       4,       0,       0,       0,
Norton,02180000,      73,     123,      35,      26,      12,       0,       0,
Norwell,02190000,     109,     190,      64,      20,      16,       7,       2,
Norwood,02200000,      51,      79,      32,      11,       7,       1,       0,
Old Rochester,07400000,      86,     162,      36,      30,      16,       2,       2,
Oxford,02260000,      39,      68,      20,       9,      10,       0,       0,
Palmer,02270000,      18,      44,       3,       7,       5,       3,       0,
Pathfinder Regional Vocational Technical,08600000,      16,      21,      11,       5,       0,       0,       0,
Peabody,02290000,      96,     178,      50,      20,      19,       5,       2,
Pembroke,02310000,     123,     221,      57,      38,      25,       2,       1,
Pentucket,07450000,      74,     141,      34,      21,      15,       1,       3,
Pioneer Charter School of Science (District),04940000,      13,      22,       8,       2,       2,       1,       0,
Pioneer Charter School of Science II (PCSS-II) (District),35060000,      28,      52,      13,       7,       7,       1,       0,
Pioneer Valley,07500000,      23,      39,       9,      12,       2,       0,       0,
Pioneer Valley Performing Arts Charter Public (District),04790000,       2,,,,,,,
Pittsfield,02360000,     141,     227,      82,      41,      11,       5,       2,
Plymouth,02390000,     210,     442,      82,      59,      49,       9,      11,
Prospect Hill Academy Charter (District),04870000,      54,     108,      27,      14,       6,       4,       3,
Quabbin,07530000,      35,      46,      25,       9,       1,       0,       0,
Quaboag Regional,07780000,      42,      73,      20,      13,       9,       0,       0,
Quincy,02430000,     163,     414,      55,      37,      27,      22,      22,
Ralph C Mahar,07550000,      18,      33,      12,       3,       0,       1,       2,
Randolph,02440000,      61,     109,      25,      24,      12,       0,       0,
Reading,02460000,      90,     212,      34,      25,       8,      11,      12,
Revere,02480000,     138,     224,      74,      45,      16,       3,       0,
Rising Tide Charter Public (District),04830000,       9,,,,,,,
Rockland,02510000,      47,      90,      23,       9,      12,       2,       1,
Rockport,02520000,      22,      37,      13,       3,       6,       0,       0,
Roxbury Preparatory Charter (District),04840000,     105,     209,      44,      28,      23,      10,       0,
Sabis International Charter (District),04410000,      28,      57,      12,       8,       4,       3,       1,
Salem,02580000,      72,     138,      31,      22,      14,       4,       1,
Salem Academy Charter (District),04850000,      35,      67,      18,       7,       5,       5,       0,
Sandwich,02610000,      95,     133,      66,      21,       7,       1,       0,
Saugus,02620000,      50,      91,      25,      14,       7,       3,       1,
Scituate,02640000,      80,     155,      30,      31,      13,       6,       0,
Seekonk,02650000,      67,     120,      31,      21,      13,       2,       0,
Sharon,02660000,     159,     374,      49,      55,      30,       9,      16,
Shrewsbury,02710000,     139,     284,      53,      46,      26,       9,       5,
Silver Lake,07600000,     120,     292,      39,      27,      25,      22,       7,
Sizer School: A North Central Charter Essential (District),04740000,       1,,,,,,,
Somerset Berkley Regional School District,07630000,      79,     147,      39,      22,      10,       6,       2,
Somerville,02740000,     143,     275,      73,      28,      25,      14,       3,
South Hadley,02780000,      60,     115,      26,      20,       7,       7,       0,
South Middlesex Regional Vocational Technical,08290000,      20,      29,      14,       3,       3,       0,       0,
South Shore Charter Public (District),04880000,      25,      43,      12,      10,       1,       2,       0,
Southbridge,02770000,      13,      18,      10,       2,       0,       1,       0,
Southeastern Regional Vocational Technical,08720000,      62,      89,      40,      17,       5,       0,       0,
Southern Berkshire,07650000,      11,      16,       6,       5,       0,       0,       0,
Southern Worcester County Regional Vocational Technical,08760000,      64,      84,      48,      12,       4,       0,       0,
Southwick-Tolland-Granville Regional School District,07660000,      37,      59,      20,      13,       3,       1,       0,
Spencer-E Brookfield,07670000,      13,      24,       5,       6,       1,       1,       0,
Springfield,02810000,     265,     429,     160,      59,      35,       9,       2,
Stoneham,02840000,      37,      65,      18,      14,       2,       2,       1,
Stoughton,02850000,      48,      75,      27,      15,       6,       0,       0,
Sutton,02900000,      75,     141,      34,      26,       8,       4,       3,
Swampscott,02910000,      73,     173,      30,      14,      16,       2,      11,
Swansea,02920000,      58,      97,      32,      18,       4,       3,       1,
TEC Connections Academy Commonwealth Virtual School District,39020000,       9,,,,,,,
Tantasqua,07700000,     100,     167,      56,      22,      21,       1,       0,
Taunton,02930000,     123,     204,      71,      31,      14,       6,       1,
Tewksbury,02950000,      95,     139,      56,      34,       5,       0,       0,
Tri-County Regional Vocational Technical,08780000,      38,      61,      23,       7,       8,       0,       0,
Triton,07730000,      58,     106,      34,      12,       4,       5,       3,
Tyngsborough,03010000,      38,      51,      26,      11,       1,       0,       0,
Upper Cape Cod Regional Vocational Technical,08790000,       7,,,,,,,
Uxbridge,03040000,      41,      76,      17,      17,       3,       4,       0,
Wachusett,07750000,     152,     261,      91,      28,      23,       5,       5,
Wakefield,03050000,      76,     150,      32,      23,      12,       9,       0,
Walpole,03070000,      77,     150,      30,      27,      15,       4,       1,
Waltham,03080000,     100,     220,      32,      37,      19,       6,       6,
Ware,03090000,      17,      23,      12,       4,       1,       0,       0,
Wareham,03100000,      33,      76,      12,      10,       4,       4,       3,
Watertown,03140000,      53,      87,      27,      20,       4,       2,       0,
Wayland,03150000,     124,     265,      60,      22,      19,      13,      10,
Webster,03160000,      48,      90,      21,      14,      11,       2,       0,
Wellesley,03170000,     157,     320,      67,      38,      35,      15,       2,
West Boylston,03220000,      29,      36,      23,       5,       1,       0,       0,
West Bridgewater,03230000,      28,      52,       8,      16,       4,       0,       0,
West Springfield,03320000,      80,     147,      35,      28,      12,       5,       0,
Westborough,03210000,     135,     244,      69,      38,      17,       8,       3,
Westfield,03250000,     118,     240,      52,      33,      15,      13,       5,
Westford,03260000,     203,     425,      79,      58,      39,      22,       5,
Weston,03300000,     154,     309,      72,      41,      18,      14,       9,
Westport,03310000,      26,      44,      12,      10,       4,       0,       0,
Westwood,03350000,     124,     257,      47,      43,      19,      10,       5,
Weymouth,03360000,     109,     201,      55,      31,      14,       5,       4,
Whitman-Hanson,07800000,     130,     246,      59,      36,      28,       4,       3,
Wilmington,03420000,      87,     160,      49,      20,       9,       4,       5,
Winchendon,03430000,      15,      33,       4,       4,       7,       0,       0,
Winchester,03440000,     177,     436,      66,      30,      37,      25,      19,
Winthrop,03460000,      57,     104,      29,      14,      10,       3,       1,
Woburn,03470000,      75,     124,      47,      12,      11,       5,       0,
Worcester,03480000,     705,"   1,208",     390,     176,      96,      37,       6,
State Totals,00000000,"  23,487","  44,464","  11,327","   6,399","   3,575","   1,487",     699,