2017-18 Advanced Placement Participation - All Subjects - White,,,,,,,,,
District Name,District Code,test_takers_white,tests_taken_white,one_test_white,two_tests_white,three_tests_white,four_tests_white,five_ormore_tests_white,
Abington,00010000,      69,     128,      31,      19,      17,       2,       0,
Academy Of the Pacific Rim Charter Public (District),04120000,       2,,,,,,,
Acton-Boxborough,06000000,     235,     429,     121,      66,      25,      17,       6,
Adams-Cheshire,06030000,      90,     133,      60,      18,      11,       1,       0,
Advanced Math and Science Academy Charter (District),04300000,     133,     213,      75,      37,      20,       1,       0,
Agawam,00050000,     208,     370,     102,      69,      23,      10,       4,
Amesbury,00070000,      80,     121,      41,      37,       2,       0,       0,
Amherst-Pelham,06050000,      97,     148,      57,      29,      11,       0,       0,
Andover,00090000,     330,     556,     151,     137,      37,       5,       0,
Arlington,00100000,     318,     733,      89,     105,      74,      38,      12,
Ashburnham-Westminster,06100000,     110,     155,      74,      27,       9,       0,       0,
Ashland,00140000,     121,     248,      56,      27,      22,      10,       6,
Assabet Valley Regional Vocational Technical,08010000,      80,     114,      57,      15,       5,       3,       0,
Athol-Royalston,06150000,      49,      77,      22,      26,       1,       0,       0,
Atlantis Charter (District),04910000,      27,      44,      13,      12,       1,       1,       0,
Attleboro,00160000,     273,     444,     148,      82,      40,       3,       0,
Auburn,00170000,     187,     266,     122,      53,      11,       0,       1,
Avon,00180000,      13,      22,       8,       2,       2,       1,       0,
Ayer Shirley School District,06160000,      58,     108,      26,      22,       5,       3,       2,
Barnstable,00200000,     390,     765,     198,      80,      65,      30,      17,
Baystate Academy Charter Public School (District),35020000,       1,,,,,,,
Bedford,00230000,      93,     165,      42,      33,      15,       3,       0,
Belchertown,00240000,      76,     122,      42,      27,       4,       1,       2,
Bellingham,00250000,      78,     135,      36,      27,      15,       0,       0,
Belmont,00260000,     333,     752,     109,     101,      73,      30,      20,
Berkshire Arts and Technology Charter Public (District),04140000,      33,      60,      15,      12,       3,       3,       0,
Berkshire Hills,06180000,      71,     112,      41,      21,       7,       2,       0,
Berlin-Boylston,06200000,      52,     102,      19,      18,      13,       2,       0,
Beverly,00300000,     174,     303,      96,      46,      17,      11,       4,
Billerica,00310000,     189,     375,      90,      48,      27,      12,      12,
Blackstone Valley Regional Vocational Technical,08050000,     251,     373,     143,      95,      12,       1,       0,
Blackstone-Millville,06220000,      88,     142,      47,      30,       9,       2,       0,
Blue Hills Regional Vocational Technical,08060000,      22,      27,      17,       5,       0,       0,       0,
Boston,00350000,     738,"   1,363",     350,     209,     128,      45,       6,
Boston Collegiate Charter (District),04490000,      72,     151,      20,      32,      13,       7,       0,
Boston Green Academy Horace Mann Charter School (District),04110000,       3,,,,,,,
Boston Preparatory Charter Public (District),04160000,       2,,,,,,,
Bourne,00360000,      71,     147,      20,      27,      23,       1,       0,
Braintree,00400000,     252,     498,     111,      70,      43,      22,       6,
Bridgewater-Raynham,06250000,     258,     467,     116,      91,      37,      12,       2,
Bristol-Plymouth Regional Vocational Technical,08100000,      96,     119,      73,      23,       0,       0,       0,
Brockton,00440000,      98,     136,      72,      16,       8,       2,       0,
Brooke Charter School (District),04280000,       2,,,,,,,
Brookline,00460000,     330,     673,     134,      97,      63,      25,      11,
Burlington,00480000,     154,     266,      85,      41,      17,       7,       4,
Cambridge,00490000,     187,     325,      95,      58,      23,      10,       1,
Canton,00500000,     222,     495,      74,      70,      52,      14,      12,
Cape Cod Regional Vocational Technical,08150000,      28,      38,      18,      10,       0,       0,       0,
Carver,00520000,      98,     188,      45,      27,      16,       9,       1,
Central Berkshire,06350000,      93,     158,      47,      30,      13,       3,       0,
Chelmsford,00560000,     201,     401,      89,      55,      36,      14,       7,
Chelsea,00570000,      19,      26,      12,       7,       0,       0,       0,
Chicopee,00610000,     230,     461,      94,      71,      41,      18,       6,
City on a Hill Charter Public School Circuit Street (District),04370000,       4,,,,,,,
Clinton,00640000,      34,      60,      20,       5,       6,       3,       0,
Cohasset,00650000,     138,     253,      60,      44,      31,       3,       0,
Community Charter School of Cambridge (District),04360000,       4,,,,,,,
Concord-Carlisle,06400000,     241,     462,     103,      80,      39,      15,       4,
Danvers,00710000,     222,     432,      90,      79,      34,      14,       5,
Dartmouth,00720000,     216,     310,     139,      62,      13,       2,       0,
Dedham,00730000,     174,     306,      92,      48,      22,       9,       3,
Dennis-Yarmouth,06450000,     101,     200,      36,      38,      22,       4,       1,
Dighton-Rehoboth,06500000,     167,     336,      72,      49,      27,      13,       6,
Douglas,00770000,      75,     151,      29,      23,      17,       5,       1,
Dover-Sherborn,06550000,     162,     399,      38,      51,      43,      21,       9,
Dracut,00790000,     133,     221,      66,      47,      19,       1,       0,
Dudley-Charlton Reg,06580000,     273,     472,     143,      78,      39,       9,       4,
Duxbury,00820000,     315,     660,     114,     104,      58,      31,       8,
East Bridgewater,00830000,     101,     209,      33,      33,      30,       5,       0,
East Longmeadow,00870000,     139,     207,      95,      27,      10,       7,       0,
Easthampton,00860000,     108,     148,      75,      26,       7,       0,       0,
Easton,00880000,     260,     561,     102,      71,      47,      26,      14,
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),04520000,       5,,,,,,,
Essex North Shore Agricultural and Technical School District,08170000,      54,      63,      45,       9,       0,       0,       0,
Everett,00930000,      97,     173,      49,      27,      15,       5,       1,
Excel Academy Charter (District),04100000,      13,      17,      10,       2,       1,       0,       0,
Fairhaven,00940000,     100,     157,      62,      24,      10,       3,       1,
Fall River,00950000,     173,     358,      60,      58,      40,      13,       2,
Falmouth,00960000,     106,     209,      41,      37,      20,       6,       2,
Fitchburg,00970000,     119,     235,      55,      25,      28,       9,       2,
Foxborough,00990000,     179,     381,      70,      52,      31,      18,       8,
Foxborough Regional Charter (District),04460000,      59,      98,      32,      15,      12,       0,       0,
Framingham,01000000,     248,     499,     112,      68,      36,      21,      11,
Francis W. Parker Charter Essential (District),04780000,       7,,,,,,,
Franklin,01010000,     403,     765,     183,     127,      57,      23,      13,
Franklin County Regional Vocational Technical,08180000,      55,      65,      46,       8,       1,       0,       0,
Freetown-Lakeville,06650000,     187,     338,      74,      82,      26,       3,       2,
Frontier,06700000,      85,     144,      43,      27,      13,       2,       0,
Gardner,01030000,      94,     177,      54,      19,       9,       5,       7,
Gateway,06720000,      28,      52,      11,      10,       7,       0,       0,
Georgetown,01050000,      51,      71,      35,      13,       2,       1,       0,
Gill-Montague,06740000,      13,      18,       8,       5,       0,       0,       0,
Gloucester,01070000,     121,     226,      57,      39,      13,       9,       3,
Grafton,01100000,     142,     231,      76,      45,      20,       0,       1,
Granby,01110000,      31,      42,      22,       7,       2,       0,       0,
Greater Fall River Regional Vocational Technical,08210000,      17,      23,      13,       2,       2,       0,       0,
Greater Lawrence Regional Vocational Technical,08230000,       4,,,,,,,
Greater Lowell Regional Vocational Technical,08280000,      50,      50,      50,       0,       0,       0,       0,
Greater New Bedford Regional Vocational Technical,08250000,      58,      81,      41,      11,       6,       0,       0,
Greenfield,01140000,      46,     104,      12,      19,       9,       4,       2,
Groton-Dunstable,06730000,     171,     318,      68,      69,      27,       4,       3,
Hadley,01170000,      36,      62,      20,       9,       4,       3,       0,
Hamilton-Wenham,06750000,     157,     337,      64,      37,      32,      19,       5,
Hampden Charter School of Science East (District),04990000,      36,      48,      26,       8,       2,       0,       0,
Hampden-Wilbraham,06800000,     161,     237,     100,      48,      11,       2,       0,
Hampshire,06830000,      64,     112,      30,      22,      10,       2,       0,
Hanover,01220000,     251,     438,     132,      73,      29,      12,       5,
Harvard,01250000,     106,     184,      63,      18,      17,       6,       2,
Hatfield,01270000,      19,      27,      11,       8,       0,       0,       0,
Haverhill,01280000,     229,     399,     121,      66,      25,      14,       3,
Hingham,01310000,     245,     448,     112,      81,      36,      14,       2,
Holbrook,01330000,      19,      40,       5,       7,       7,       0,       0,
Holliston,01360000,     238,     384,     121,      90,      25,       2,       0,
Holyoke,01370000,      94,     215,      22,      31,      33,       8,       0,
Hopedale,01380000,      76,     116,      42,      28,       6,       0,       0,
Hopkinton,01390000,     407,     891,     162,      96,      75,      60,      14,
Hudson,01410000,     164,     275,      84,      60,      11,       8,       1,
Hull,01420000,      47,      93,      22,      10,       9,       6,       0,
Innovation Academy Charter (District),04350000,       4,,,,,,,
Ipswich,01440000,      89,     176,      34,      29,      20,       6,       0,
KIPP Academy Lynn Charter (District),04290000,      17,      29,      12,       0,       3,       2,       0,
King Philip,06900000,     355,     734,     130,     118,      71,      28,       8,
Lawrence,01490000,       9,,,,,,,
Lee,01500000,      36,      62,      18,      11,       6,       1,       0,
Leicester,01510000,      94,     131,      61,      29,       4,       0,       0,
Lenox,01520000,      48,      88,      23,      12,      11,       2,       0,
Leominster,01530000,     164,     380,      54,      46,      33,      23,       8,
Lexington,01550000,     404,     686,     231,     106,      40,      14,      13,
Lincoln-Sudbury,06950000,     188,     298,     115,      43,      23,       7,       0,
Littleton,01580000,      87,     163,      36,      30,      17,       4,       0,
Longmeadow,01590000,     182,     402,      60,      57,      41,      16,       8,
Lowell,01600000,     157,     311,      83,      30,      22,      12,      10,
Ludlow,01610000,     131,     260,      66,      24,      25,      10,       6,
Lunenburg,01620000,     111,     193,      42,      58,       9,       2,       0,
Lynn,01630000,     135,     258,      71,      29,      19,      10,       6,
Lynnfield,01640000,     183,     416,      58,      52,      46,      20,       7,
MATCH Charter Public School (District),04690000,       6,,,,,,,
Ma Academy for Math and Science,04680000,      15,      18,      13,       1,       1,       0,       0,
Malden,01650000,     104,     191,      45,      40,      11,       7,       1,
Manchester Essex Regional,06980000,     143,     319,      49,      47,      21,      18,       8,
Mansfield,01670000,     223,     388,     101,      86,      30,       5,       1,
Marblehead,01680000,     289,     546,     140,      80,      42,      15,      12,
Marlborough,01700000,     176,     362,      77,      45,      31,      13,      10,
Marshfield,01710000,     242,     483,      87,      90,      49,      11,       5,
Martha's Vineyard,07000000,     121,     232,      58,      36,      14,       9,       4,
Masconomet,07050000,     207,     395,      89,      69,      35,       9,       5,
Mashpee,01720000,     109,     189,      61,      23,      19,       5,       1,
Massachusetts Virtual Academy at Greenfield Commonwealth Virtual District,39010000,       8,,,,,,,
Maynard,01740000,      85,     135,      42,      37,       5,       1,       0,
Medfield,01750000,     266,     509,     112,      87,      46,      20,       1,
Medford,01760000,     102,     154,      64,      26,      10,       2,       0,
Medway,01770000,     249,     506,     117,      60,      40,      16,      16,
Melrose,01780000,     268,     635,      91,      67,      63,      25,      22,
Mendon-Upton,07100000,     179,     355,      69,      61,      35,      11,       3,
Methuen,01810000,     241,     402,     134,      69,      26,       8,       4,
Middleborough,01820000,     164,     245,      99,      50,      14,       1,       0,
Milford,01850000,     195,     298,     124,      44,      22,       5,       0,
Millbury,01860000,      66,     113,      27,      31,       8,       0,       0,
Millis,01870000,     100,     166,      50,      36,      12,       2,       0,
Milton,01890000,     214,     492,      65,      63,      51,      28,       7,
Minuteman Regional Vocational Technical,08300000,      14,      16,      12,       2,       0,       0,       0,
Mohawk Trail,07170000,      48,      75,      25,      19,       4,       0,       0,
Monomoy Regional School District,07120000,      77,     174,      22,      26,      19,       8,       2,
Monson,01910000,      57,      77,      41,      12,       4,       0,       0,
Montachusett Regional Vocational Technical,08320000,      83,     116,      50,      33,       0,       0,       0,
Mount Greylock,07150000,     132,     259,      58,      36,      26,       9,       3,
Nantucket,01970000,      89,     162,      42,      26,      17,       3,       1,
Narragansett,07200000,     102,     170,      55,      32,      11,       2,       2,
Nashoba,07250000,     275,     522,     148,      60,      26,      31,      10,
Nashoba Valley Regional Vocational Technical,08520000,      89,     143,      59,       7,      22,       1,       0,
Natick,01980000,     419,     792,     206,     109,      67,      22,      15,
Nauset,06600000,     272,     559,     126,      64,      43,      21,      18,
Needham,01990000,     352,     594,     196,      96,      38,      19,       3,
New Bedford,02010000,     122,     202,      65,      40,      11,       6,       0,
Newburyport,02040000,     188,     356,      84,      62,      25,      13,       4,
Newton,02070000,     704,"   1,392",     304,     195,     137,      54,      14,
North Adams,02090000,     140,     231,      83,      32,      17,       7,       1,
North Andover,02110000,     283,     459,     139,     118,      20,       6,       0,
North Attleborough,02120000,     217,     364,     119,      64,      21,      11,       2,
North Brookfield,02150000,      28,      45,      12,      15,       1,       0,       0,
North Middlesex,07350000,     190,     314,     105,      54,      24,       6,       1,
North Reading,02170000,     232,     430,     103,      78,      38,       9,       4,
Northampton,02100000,     247,     511,      97,      76,      39,      30,       5,
Northampton-Smith Vocational Agricultural,04060000,      11,      11,      11,       0,       0,       0,       0,
Northboro-Southboro,07300000,     309,     580,     146,      94,      40,      22,       7,
Northbridge,02140000,     134,     217,      66,      53,      15,       0,       0,
Northeast Metropolitan Regional Vocational Technical,08530000,      15,      20,      10,       5,       0,       0,       0,
Northern Berkshire Regional Vocational Technical,08510000,      25,      31,      19,       6,       0,       0,       0,
Norton,02180000,     174,     297,      80,      65,      29,       0,       0,
Norwell,02190000,     250,     430,     134,      69,      33,      11,       3,
Norwood,02200000,     108,     163,      66,      31,       9,       2,       0,
Old Rochester,07400000,     227,     438,      96,      72,      42,      13,       4,
Oxford,02260000,      97,     163,      46,      36,      15,       0,       0,
Palmer,02270000,      48,      84,      26,      13,       5,       3,       1,
Pathfinder Regional Vocational Technical,08600000,      43,      48,      38,       5,       0,       0,       0,
Peabody,02290000,     230,     407,     118,      63,      36,      11,       2,
Pembroke,02310000,     258,     467,     113,      90,      48,       5,       2,
Pentucket,07450000,     166,     300,      79,      54,      24,       5,       4,
Pioneer Charter School of Science (District),04940000,      17,      39,       5,       4,       6,       2,       0,
Pioneer Charter School of Science II (PCSS-II) (District),35060000,      16,      34,       6,       4,       4,       2,       0,
Pioneer Valley,07500000,      28,      45,      14,      11,       3,       0,       0,
Pioneer Valley Chinese Immersion Charter (District),04970000,       1,,,,,,,
Pioneer Valley Performing Arts Charter Public (District),04790000,       5,,,,,,,
Pittsfield,02360000,     266,     441,     147,      76,      32,       9,       2,
Plymouth,02390000,     485,     999,     197,     121,     129,      22,      16,
Prospect Hill Academy Charter (District),04870000,      21,      54,       6,       5,       5,       4,       1,
Quabbin,07530000,      96,     132,      61,      34,       1,       0,       0,
Quaboag Regional,07780000,      97,     176,      47,      26,      19,       5,       0,
Quincy,02430000,     147,     320,      59,      39,      27,      13,       9,
Ralph C Mahar,07550000,      47,      79,      28,      12,       4,       1,       2,
Randolph,02440000,      13,      24,       5,       5,       3,       0,       0,
Reading,02460000,     177,     336,      94,      41,      19,      12,      11,
Revere,02480000,     126,     213,      64,      43,      14,       4,       1,
Rising Tide Charter Public (District),04830000,      27,      51,      11,       9,       6,       1,       0,
Rockland,02510000,     109,     187,      59,      27,      19,       3,       1,
Rockport,02520000,      54,      97,      29,       9,      14,       2,       0,
Roxbury Preparatory Charter (District),04840000,       1,,,,,,,
Sabis International Charter (District),04410000,      19,      42,       7,       6,       3,       1,       2,
Salem,02580000,     106,     196,      51,      30,      18,       4,       3,
Salem Academy Charter (District),04850000,      33,      66,      16,       5,       8,       4,       0,
Sandwich,02610000,     211,     296,     138,      62,      10,       1,       0,
Saugus,02620000,     120,     236,      50,      37,      23,       8,       2,
Scituate,02640000,     241,     490,      89,      80,      50,      19,       3,
Seekonk,02650000,     162,     271,      77,      62,      22,       1,       0,
Sharon,02660000,     162,     357,      63,      46,      32,       8,      13,
Shrewsbury,02710000,     236,     426,      97,      95,      37,       7,       0,
Silver Lake,07600000,     256,     560,      91,      83,      38,      33,      11,
Somerset Berkley Regional School District,07630000,     198,     358,      93,      66,      25,      12,       2,
Somerville,02740000,     117,     248,      51,      25,      20,      18,       3,
South Hadley,02780000,     136,     245,      61,      47,      22,       6,       0,
South Middlesex Regional Vocational Technical,08290000,      25,      40,      13,       9,       3,       0,       0,
South Shore Charter Public (District),04880000,      31,      48,      17,      12,       1,       1,       0,
Southbridge,02770000,      31,      49,      18,       9,       3,       1,       0,
Southeastern Regional Vocational Technical,08720000,      88,     134,      47,      36,       5,       0,       0,
Southern Berkshire,07650000,      26,      37,      16,       9,       1,       0,       0,
Southern Worcester County Regional Vocational Technical,08760000,      96,     136,      65,      23,       7,       1,       0,
Southwick-Tolland-Granville Regional School District,07660000,      93,     135,      63,      20,       8,       2,       0,
Spencer-E Brookfield,07670000,      28,      54,      13,       6,       7,       2,       0,
Springfield,02810000,     157,     275,      83,      42,      22,       8,       2,
Stoneham,02840000,     111,     199,      55,      33,      17,       3,       3,
Stoughton,02850000,     100,     169,      47,      37,      16,       0,       0,
Sutton,02900000,     147,     266,      66,      54,      18,       7,       2,
Swampscott,02910000,     138,     317,      55,      37,      21,       7,      18,
Swansea,02920000,     124,     226,      58,      41,      16,       7,       2,
TEC Connections Academy Commonwealth Virtual School District,39020000,      34,      53,      20,       9,       5,       0,       0,
Tantasqua,07700000,     207,     327,     125,      49,      29,       3,       1,
Taunton,02930000,     258,     441,     135,      76,      35,      11,       1,
Tewksbury,02950000,     199,     297,     116,      69,      13,       1,       0,
Tri-County Regional Vocational Technical,08780000,      81,     120,      54,      15,      12,       0,       0,
Triton,07730000,     133,     257,      66,      32,      19,      11,       5,
Tyngsborough,03010000,      73,      88,      59,      13,       1,       0,       0,
Upper Cape Cod Regional Vocational Technical,08790000,      14,      16,      12,       2,       0,       0,       0,
Uxbridge,03040000,      83,     165,      28,      36,      11,       8,       0,
Wachusett,07750000,     317,     553,     181,      70,      41,      18,       7,
Wakefield,03050000,     178,     321,      83,      57,      28,      10,       0,
Walpole,03070000,     171,     350,      70,      46,      36,      15,       4,
Waltham,03080000,     135,     289,      42,      49,      34,       4,       6,
Ware,03090000,      37,      50,      25,      11,       1,       0,       0,
Wareham,03100000,      57,     131,      20,      17,       9,       6,       5,
Watertown,03140000,      84,     144,      46,      22,      12,       2,       2,
Wayland,03150000,     154,     291,      79,      34,      24,      14,       3,
Webster,03160000,      88,     166,      34,      33,      18,       3,       0,
Wellesley,03170000,     248,     474,     119,      54,      57,      14,       4,
West Boylston,03220000,      59,      76,      44,      13,       2,       0,       0,
West Bridgewater,03230000,     106,     197,      30,      65,       8,       2,       1,
West Springfield,03320000,     154,     296,      59,      60,      23,      12,       0,
Westborough,03210000,     166,     293,      87,      43,      25,      10,       1,
Westfield,03250000,     266,     497,     133,      67,      41,      18,       7,
Westford,03260000,     238,     422,     116,      74,      37,       8,       3,
Weston,03300000,     211,     401,     104,      62,      22,       8,      15,
Westport,03310000,      73,     126,      34,      26,      12,       1,       0,
Westwood,03350000,     283,     551,     127,      86,      40,      18,      12,
Weymouth,03360000,     199,     369,      91,      63,      33,       9,       3,
Whitman-Hanson,07800000,     329,     617,     148,     100,      59,      18,       4,
Wilmington,03420000,     165,     303,      85,      47,      18,       8,       7,
Winchendon,03430000,      49,     104,      14,      17,      16,       2,       0,
Winchester,03440000,     201,     439,      83,      48,      33,      24,      13,
Winthrop,03460000,     114,     235,      43,      28,      37,       5,       1,
Woburn,03470000,     186,     292,     118,      36,      26,       6,       0,
Worcester,03480000,     596,"   1,003",     327,     162,      77,      29,       1,
State Totals,00000000,"  38,909","  71,527","  18,726","  11,529","   5,808","   2,070",     776,