2017-18 Advanced Placement Participation - All Subjects - High Needs,,,,,,,,
District Name,District Code,test_takers_highneeds,tests_taken_highneeds,one_test_highneeds,two_tests_highneeds,three_tests_highneeds,four_tests_highneeds,five_ormore_tests_highneeds
Abington,10000,12,26,4,2,6,0,0
Academy Of the Pacific Rim Charter Public (District),4120000,13,20,8,3,2,0,0
Acton-Boxborough,6000000,31,57,15,10,2,4,0
Adams-Cheshire,6030000,20,28,15,2,3,0,0
Advanced Math and Science Academy Charter (District),4300000,15,23,9,5,0,1,0
Agawam,50000,48,82,25,15,5,3,0
Amesbury,70000,6,,,,,,
Amherst-Pelham,6050000,21,31,14,4,3,0,0
Andover,90000,28,46,14,10,4,0,0
Arlington,100000,35,65,20,7,4,2,2
Ashburnham-Westminster,6100000,10,12,8,2,0,0,0
Ashland,140000,10,13,7,3,0,0,0
Assabet Valley Regional Vocational Technical,8010000,23,29,18,4,1,0,0
Athol-Royalston,6150000,19,27,11,8,0,0,0
Atlantis Charter (District),4910000,9,,,,,,
Attleboro,160000,42,69,22,14,5,1,0
Auburn,170000,15,23,8,6,1,0,0
Avon,180000,7,,,,,,
Ayer Shirley School District,6160000,11,18,6,3,2,0,0
Barnstable,200000,62,103,36,19,4,1,2
Baystate Academy Charter Public School (District),35020000,9,,,,,,
Bedford,230000,8,,,,,,
Belchertown,240000,6,,,,,,
Bellingham,250000,14,25,7,3,4,0,0
Belmont,260000,35,70,17,8,5,4,1
Berkshire Arts and Technology Charter Public (District),4140000,19,35,9,6,2,2,0
Berkshire Hills,6180000,7,,,,,,
Berlin-Boylston,6200000,4,,,,,,
Beverly,300000,23,32,17,4,1,1,0
Billerica,310000,16,26,9,5,1,1,0
Blackstone Valley Regional Vocational Technical,8050000,40,58,26,11,2,1,0
Blackstone-Millville,6220000,12,18,8,3,0,1,0
Blue Hills Regional Vocational Technical,8060000,4,,,,,,
Boston,350000,"1,399","2,266",784,416,150,45,4
Boston Collegiate Charter (District),4490000,25,40,13,9,3,0,0
Boston Green Academy Horace Mann Charter School (District),4110000,36,59,15,19,2,0,0
Boston Preparatory Charter Public (District),4160000,28,54,11,10,5,2,0
Bourne,360000,12,22,5,4,3,0,0
Braintree,400000,36,57,24,6,4,1,1
Bridgewater-Raynham,6250000,24,49,8,9,5,2,0
Bristol-Plymouth Regional Vocational Technical,8100000,21,25,17,4,0,0,0
Brockton,440000,122,177,83,27,10,1,1
Brooke Charter School (District),4280000,33,33,33,0,0,0,0
Brookline,460000,58,136,23,16,8,5,6
Burlington,480000,13,19,9,2,2,0,0
Cambridge,490000,62,103,38,12,8,3,1
Canton,500000,24,42,13,6,3,2,0
Cape Cod Regional Vocational Technical,8150000,16,20,12,4,0,0,0
Carver,520000,14,24,8,3,2,1,0
Central Berkshire,6350000,17,31,9,2,6,0,0
Chelmsford,560000,21,31,12,8,1,0,0
Chelsea,570000,131,191,80,42,9,0,0
Chicopee,610000,107,216,45,35,13,9,5
City on a Hill Charter Public School Circuit Street (District),4370000,30,52,15,8,7,0,0
City on a Hill Charter Public School Dudley Square (District),35040000,18,30,9,6,3,0,0
Clinton,640000,14,24,8,2,4,0,0
Codman Academy Charter Public (District),4380000,10,15,6,3,1,0,0
Cohasset,650000,3,,,,,,
Community Charter School of Cambridge (District),4360000,30,48,17,9,3,1,0
Concord-Carlisle,6400000,21,34,12,6,2,1,0
Danvers,710000,26,50,14,5,3,3,1
Dartmouth,720000,28,41,19,6,2,1,0
Dedham,730000,37,65,22,9,2,2,2
Dennis-Yarmouth,6450000,24,53,6,9,7,2,0
Dighton-Rehoboth,6500000,12,17,8,3,1,0,0
Douglas,770000,5,,,,,,
Dover-Sherborn,6550000,12,21,6,5,0,0,1
Dracut,790000,16,26,9,5,1,1,0
Dudley-Charlton Reg,6580000,36,76,12,11,11,1,1
Duxbury,820000,19,28,14,2,2,1,0
East Bridgewater,830000,8,,,,,,
East Longmeadow,870000,31,49,18,9,3,1,0
Easthampton,860000,27,36,19,7,1,0,0
Easton,880000,30,63,15,7,2,2,4
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),4520000,49,66,33,15,1,0,0
Essex North Shore Agricultural and Technical School District,8170000,8,,,,,,
Everett,930000,126,201,77,29,15,4,1
Excel Academy Charter (District),4100000,46,75,26,12,7,1,0
Fairhaven,940000,15,24,10,1,4,0,0
Fall River,950000,85,164,36,25,18,6,0
Falmouth,960000,16,29,6,7,3,0,0
Fitchburg,970000,117,202,66,27,17,4,3
Foxborough,990000,19,45,8,3,3,3,2
Foxborough Regional Charter (District),4460000,20,28,13,6,1,0,0
Framingham,1000000,64,96,46,9,5,3,1
Francis W. Parker Charter Essential (District),4780000,1,,,,,,
Franklin,1010000,28,41,19,6,2,1,0
Franklin County Regional Vocational Technical,8180000,21,27,16,4,1,0,0
Freetown-Lakeville,6650000,14,18,10,4,0,0,0
Frontier,6700000,12,19,8,2,1,1,0
Gardner,1030000,27,51,18,3,3,0,3
Gateway,6720000,3,,,,,,
Georgetown,1050000,9,,,,,,
Gill-Montague,6740000,4,,,,,,
Gloucester,1070000,23,36,13,7,3,0,0
Grafton,1100000,10,14,8,0,2,0,0
Granby,1110000,4,,,,,,
Greater Fall River Regional Vocational Technical,8210000,5,,,,,,
Greater Lawrence Regional Vocational Technical,8230000,3,,,,,,
Greater Lowell Regional Vocational Technical,8280000,33,33,33,0,0,0,0
Greater New Bedford Regional Vocational Technical,8250000,19,23,16,2,1,0,0
Greenfield,1140000,16,35,4,6,5,1,0
Groton-Dunstable,6730000,10,16,6,3,0,1,0
Hadley,1170000,4,,,,,,
Hamilton-Wenham,6750000,11,13,9,2,0,0,0
Hampden Charter School of Science East (District),4990000,26,34,18,8,0,0,0
Hampden-Wilbraham,6800000,10,14,6,4,0,0,0
Hampshire,6830000,5,,,,,,
Hanover,1220000,13,24,7,3,2,0,1
Harvard,1250000,7,,,,,,
Hatfield,1270000,3,,,,,,
Haverhill,1280000,35,61,21,7,4,2,1
Hingham,1310000,7,,,,,,
Holbrook,1330000,11,18,6,3,2,0,0
Holliston,1360000,14,22,8,4,2,0,0
Holyoke,1370000,88,157,40,32,11,5,0
Hopedale,1380000,3,,,,,,
Hopkinton,1390000,32,59,16,9,3,4,0
Hudson,1410000,22,33,15,5,1,0,1
Hull,1420000,8,,,,,,
Innovation Academy Charter (District),4350000,1,,,,,,
Ipswich,1440000,5,,,,,,
KIPP Academy Lynn Charter (District),4290000,106,170,60,29,16,1,0
King Philip,6900000,29,59,12,9,4,3,1
Lawrence,1490000,163,195,139,18,4,2,0
Lee,1500000,10,13,8,1,1,0,0
Leicester,1510000,16,23,10,5,1,0,0
Lenox,1520000,6,,,,,,
Leominster,1530000,41,71,23,9,6,3,0
Lexington,1550000,78,135,40,26,8,1,3
Lincoln-Sudbury,6950000,14,22,9,3,1,1,0
Littleton,1580000,4,,,,,,
Longmeadow,1590000,17,27,12,3,0,1,1
Lowell,1600000,112,182,72,20,13,4,3
Ludlow,1610000,23,47,11,6,2,2,2
Lunenburg,1620000,15,24,7,7,1,0,0
Lynn,1630000,163,278,98,32,22,7,4
Lynnfield,1640000,21,42,9,6,4,1,1
MATCH Charter Public School (District),4690000,55,89,36,9,7,1,2
Ma Academy for Math and Science,4680000,2,,,,,,
Malden,1650000,173,335,83,45,25,16,4
Manchester Essex Regional,6980000,19,36,8,8,1,1,1
Mansfield,1670000,7,,,,,,
Marblehead,1680000,24,32,17,6,1,0,0
Marlborough,1700000,51,93,27,13,5,5,1
Marshfield,1710000,28,49,15,6,6,1,0
Martha's Vineyard,7000000,23,31,16,6,1,0,0
Masconomet,7050000,8,,,,,,
Mashpee,1720000,24,30,20,2,2,0,0
Massachusetts Virtual Academy at Greenfield Commonwealth Virtual District,39010000,4,,,,,,
Maynard,1740000,5,,,,,,
Medfield,1750000,20,34,12,3,4,1,0
Medford,1760000,31,41,22,8,1,0,0
Medway,1770000,18,35,9,3,4,2,0
Melrose,1780000,20,34,13,4,2,0,1
Mendon-Upton,7100000,18,32,8,6,4,0,0
Methuen,1810000,74,116,44,20,9,0,1
Middleborough,1820000,17,29,9,5,2,1,0
Milford,1850000,38,51,30,5,2,0,1
Millbury,1860000,11,17,6,4,1,0,0
Millis,1870000,10,13,7,3,0,0,0
Milton,1890000,31,59,13,10,6,2,0
Minuteman Regional Vocational Technical,8300000,7,,,,,,
Mohawk Trail,7170000,11,17,6,4,1,0,0
Monomoy Regional School District,7120000,15,41,4,4,2,3,2
Monson,1910000,14,20,9,4,1,0,0
Montachusett Regional Vocational Technical,8320000,15,21,9,6,0,0,0
Mount Greylock,7150000,16,24,10,5,0,1,0
Nantucket,1970000,21,30,15,3,3,0,0
Narragansett,7200000,18,26,11,6,1,0,0
Nashoba,7250000,8,,,,,,
Nashoba Valley Regional Vocational Technical,8520000,30,41,24,1,5,0,0
Natick,1980000,34,66,19,5,4,5,1
Nauset,6600000,44,87,17,16,8,1,2
Needham,1990000,30,52,19,4,3,4,0
New Bedford,2010000,105,157,67,27,8,3,0
Newburyport,2040000,8,,,,,,
Newton,2070000,129,236,69,32,17,5,6
North Adams,2090000,69,105,46,14,5,4,0
North Andover,2110000,15,19,11,4,0,0,0
North Attleborough,2120000,15,29,9,3,0,1,2
North Brookfield,2150000,5,,,,,,
North Middlesex,7350000,17,31,7,7,2,1,0
North Reading,2170000,17,26,11,3,3,0,0
Northampton,2100000,33,54,19,9,3,2,0
Northampton-Smith Vocational Agricultural,4060000,5,,,,,,
Northboro-Southboro,7300000,17,31,8,5,3,1,0
Northbridge,2140000,23,37,10,12,1,0,0
Northeast Metropolitan Regional Vocational Technical,8530000,8,,,,,,
Northern Berkshire Regional Vocational Technical,8510000,6,,,,,,
Norton,2180000,8,,,,,,
Norwell,2190000,16,23,9,7,0,0,0
Norwood,2200000,16,21,14,0,1,1,0
Old Rochester,7400000,20,43,6,7,5,2,0
Oxford,2260000,25,38,14,9,2,0,0
Palmer,2270000,14,24,7,4,3,0,0
Pathfinder Regional Vocational Technical,8600000,21,22,20,1,0,0,0
Peabody,2290000,57,97,32,15,7,2,1
Pembroke,2310000,26,44,14,6,6,0,0
Pentucket,7450000,14,25,8,3,1,2,0
Pioneer Charter School of Science (District),4940000,18,33,8,5,5,0,0
Pioneer Charter School of Science II (PCSS-II) (District),35060000,20,32,14,1,4,1,0
Pioneer Valley,7500000,4,,,,,,
Pittsfield,2360000,89,142,52,26,6,5,0
Plymouth,2390000,74,142,29,27,13,5,0
Prospect Hill Academy Charter (District),4870000,33,61,19,5,6,2,1
Quabbin,7530000,16,24,9,6,1,0,0
Quaboag Regional,7780000,25,48,11,7,5,2,0
Quincy,2430000,107,239,48,23,13,11,12
Ralph C Mahar,7550000,13,19,9,3,0,1,0
Randolph,2440000,55,93,27,18,10,0,0
Reading,2460000,8,,,,,,
Revere,2480000,130,206,74,40,12,4,0
Rising Tide Charter Public (District),4830000,4,,,,,,
Rockland,2510000,16,26,9,4,3,0,0
Rockport,2520000,3,,,,,,
Roxbury Preparatory Charter (District),4840000,149,298,59,45,31,14,0
Sabis International Charter (District),4410000,15,24,9,4,1,1,0
Salem,2580000,70,105,45,17,6,2,0
Salem Academy Charter (District),4850000,25,38,17,5,1,2,0
Sandwich,2610000,12,15,10,1,1,0,0
Saugus,2620000,31,58,16,9,1,4,1
Scituate,2640000,17,27,11,2,4,0,0
Seekonk,2650000,17,29,8,6,3,0,0
Sharon,2660000,20,39,10,5,2,2,1
Shrewsbury,2710000,33,52,16,15,2,0,0
Silver Lake,7600000,20,41,9,5,3,2,1
Somerset Berkley Regional School District,7630000,20,36,9,7,3,1,0
Somerville,2740000,98,159,60,19,15,4,0
South Hadley,2780000,18,28,10,7,0,1,0
South Middlesex Regional Vocational Technical,8290000,13,16,11,1,1,0,0
South Shore Charter Public (District),4880000,8,,,,,,
Southbridge,2770000,33,48,22,8,2,1,0
Southeastern Regional Vocational Technical,8720000,54,70,38,16,0,0,0
Southern Berkshire,7650000,2,,,,,,
Southern Worcester County Regional Vocational Technical,8760000,32,46,23,5,3,1,0
Southwick-Tolland-Granville Regional School District,7660000,8,,,,,,
Spencer-E Brookfield,7670000,5,,,,,,
Springfield,2810000,379,587,233,94,43,8,1
Stoneham,2840000,17,32,8,7,0,0,2
Stoughton,2850000,25,41,13,8,4,0,0
Sutton,2900000,12,20,8,0,4,0,0
Swampscott,2910000,17,35,9,3,2,1,2
Swansea,2920000,24,43,11,8,4,1,0
TEC Connections Academy Commonwealth Virtual School District,39020000,5,,,,,,
Tantasqua,7700000,20,34,11,4,5,0,0
Taunton,2930000,74,124,42,20,6,6,0
Tewksbury,2950000,19,29,11,6,2,0,0
Tri-County Regional Vocational Technical,8780000,13,20,8,3,2,0,0
Triton,7730000,12,23,3,7,2,0,0
Tyngsborough,3010000,5,,,,,,
Upper Cape Cod Regional Vocational Technical,8790000,1,,,,,,
Uxbridge,3040000,13,23,7,4,0,2,0
Wachusett,7750000,20,34,11,5,3,1,0
Wakefield,3050000,12,20,6,4,2,0,0
Walpole,3070000,10,19,5,3,0,2,0
Waltham,3080000,42,70,25,9,6,1,1
Ware,3090000,14,19,9,5,0,0,0
Wareham,3100000,15,25,9,3,2,1,0
Watertown,3140000,19,31,11,6,1,0,1
Wayland,3150000,19,26,14,4,0,1,0
Webster,3160000,29,55,13,8,6,2,0
Wellesley,3170000,27,50,15,4,5,3,0
West Boylston,3220000,8,,,,,,
West Bridgewater,3230000,13,19,9,3,0,1,0
West Springfield,3320000,58,106,25,21,9,3,0
Westborough,3210000,10,12,8,2,0,0,0
Westfield,3250000,39,68,20,12,5,1,1
Westford,3260000,13,22,6,5,2,0,0
Weston,3300000,45,79,27,7,6,5,0
Westport,3310000,12,14,10,2,0,0,0
Westwood,3350000,20,30,14,3,2,1,0
Weymouth,3360000,40,73,17,13,10,0,0
Whitman-Hanson,7800000,42,67,24,12,5,1,0
Wilmington,3420000,18,33,11,3,1,2,1
Winchendon,3430000,20,44,6,5,8,1,0
Winchester,3440000,12,25,5,2,4,1,0
Winthrop,3460000,25,51,11,3,10,1,0
Woburn,3470000,27,37,19,6,2,0,0
Worcester,3480000,859,"1,390",496,233,102,20,8
State Totals,0,"10,282","16,943","5,942","2,671","1,172",377,120